timestamp,device,ecg_value
2026-08-21T17:34:37.108898,patient_01,2752
2026-08-21T17:34:37.108898,patient_01,2416
2026-08-21T17:34:37.108898,patient_01,2145
2026-08-21T17:34:37.108898,patient_01,2209
2026-08-21T17:34:37.108898,patient_01,2433
2026-08-21T17:34:37.228691,patient_01,2385
2026-08-21T17:34:37.228691,patient_01,2097
2026-08-21T17:34:37.228691,patient_01,1825
2026-08-21T17:34:37.228691,patient_01,1985
2026-08-21T17:34:37.228691,patient_01,2352
2026-08-21T17:34:37.228691,patient_01,2384
2026-08-21T17:34:37.228691,patient_01,2128
2026-08-21T17:34:37.228691,patient_01,1841
2026-08-21T17:34:37.228691,patient_01,1985
2026-08-21T17:34:37.228691,patient_01,2305
2026-08-21T17:34:37.228691,patient_01,2336
2026-08-21T17:34:37.228691,patient_01,2064
2026-08-21T17:34:37.228691,patient_01,1761
2026-08-21T17:34:37.228691,patient_01,1936
2026-08-21T17:34:37.228691,patient_01,2288
2026-08-21T17:34:37.228691,patient_01,2336
2026-08-21T17:34:37.228691,patient_01,2097
2026-08-21T17:34:37.228691,patient_01,1889
